term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"weibo programming","weibo programming","1","1000","0.001","",""
"weed chinese","weed chinese","1","1000","0.001","",""
"wechat facial-recognition","wechat facial-recognition","1","1000","0.001","",""
"websites overturned","websites overturned","1","1000","0.001","",""
"websites id","websites id","1","1000","0.001","",""
"websites digital","websites digital","1","1000","0.001","",""
"website china","website china","1","1000","0.001","",""
"website carrie","website carrie","1","1000","0.001","",""
"webcam badge","webcam badge","1","1000","0.001","",""
"wearables navigation","wearables navigation","1","1000","0.001","",""
"weapons surveillance","weapons surveillance","1","1000","0.001","",""
"weapons sights","weapons sights","1","1000","0.001","",""
"weapons flaws","weapons flaws","1","1000","0.001","",""
"weapons analytics","weapons analytics","1","1000","0.001","",""
"wealth navigation","wealth navigation","1","1000","0.001","",""
"wealth malaysia","wealth malaysia","1","1000","0.001","",""
"watson recognition","watson recognition","1","1000","0.001","",""
"watchdog examining","watchdog examining","1","1000","0.001","",""
"washington requests","washington requests","1","1000","0.001","",""
"washington patents","washington patents","1","1000","0.001","",""
"washington microsoft","washington microsoft","1","1000","0.001","",""
"washington hacked","washington hacked","1","1000","0.001","",""
"washington dulles","washington dulles","1","1000","0.001","",""
"washington detailing","washington detailing","1","1000","0.001","",""
"washington counterparts","washington counterparts","1","1000","0.001","",""
"washington columnist","washington columnist","1","1000","0.001","",""
"washington china","washington china","1","1000","0.001","",""
"washington ap","washington ap","1","1000","0.001","",""
"warrior occupant","warrior occupant","1","1000","0.001","",""
"warrants law-abiding","warrants law-abiding","1","1000","0.001","",""
"warns apple's","warns apple's","1","1000","0.001","",""
"warner josh","warner josh","1","1000","0.001","",""
"warn vastly","warn vastly","1","1000","0.001","",""
"warn suspicious","warn suspicious","1","1000","0.001","",""
"warn surveillance","warn surveillance","1","1000","0.001","",""
"warn campaigns","warn campaigns","1","1000","0.001","",""
"warn arguments","warn arguments","1","1000","0.001","",""
"warehouse bloomberg","warehouse bloomberg","1","1000","0.001","",""
"wannabe marketers","wannabe marketers","1","1000","0.001","",""
"wang shenzhen","wang shenzhen","1","1000","0.001","",""
"wandered san","wandered san","1","1000","0.001","",""
"walks logged","walks logged","1","1000","0.001","",""
"wales violated","wales violated","1","1000","0.001","",""
"wales judicial","wales judicial","1","1000","0.001","",""
"vulnerable abuse","vulnerable abuse","1","1000","0.001","",""
"vr shoestring","vr shoestring","1","1000","0.001","",""
"vr facebook","vr facebook","1","1000","0.001","",""
"vpnmentor relates","vpnmentor relates","1","1000","0.001","",""
"vox facial","vox facial","1","1000","0.001","",""
"vouch goldman","vouch goldman","1","1000","0.001","",""
"voter's securing","voter's securing","1","1000","0.001","",""
"voiced regulate","voiced regulate","1","1000","0.001","",""
"vocal global","vocal global","1","1000","0.001","",""
"voatz app","voatz app","1","1000","0.001","",""
"visits sites","visits sites","1","1000","0.001","",""
"visa phones","visa phones","1","1000","0.001","",""
"virus facial","virus facial","1","1000","0.001","",""
"virtual messenger","virtual messenger","1","1000","0.001","",""
"virtual currency","virtual currency","1","1000","0.001","",""
"virtual assistants","virtual assistants","1","1000","0.001","",""
"viral videos","viral videos","1","1000","0.001","",""
"viral media","viral media","1","1000","0.001","",""
"viral app","viral app","1","1000","0.001","",""
"violent tear","violent tear","1","1000","0.001","",""
"violent suspects","violent suspects","1","1000","0.001","",""
"violent criminal","violent criminal","1","1000","0.001","",""
"violent crime","violent crime","1","1000","0.001","",""
"violations unprecedented","violations unprecedented","1","1000","0.001","",""
"violations abuses","violations abuses","1","1000","0.001","",""
"violation privacy","violation privacy","1","1000","0.001","",""
"violates internationally","violates internationally","1","1000","0.001","",""
"violated twitter's","violated twitter's","1","1000","0.001","",""
"violated privacy","violated privacy","1","1000","0.001","",""
"violated illinois","violated illinois","1","1000","0.001","",""
"violated failing","violated failing","1","1000","0.001","",""
"violate privacy","violate privacy","1","1000","0.001","",""
"violate people's","violate people's","1","1000","0.001","",""
"vine competitor","vine competitor","1","1000","0.001","",""
"villas-boas insider","villas-boas insider","1","1000","0.001","",""
"vile post-traumatic","vile post-traumatic","1","1000","0.001","",""
"viking birka","viking birka","1","1000","0.001","",""
"vietnamese keyboards","vietnamese keyboards","1","1000","0.001","",""
"vietnamese english","vietnamese english","1","1000","0.001","",""
"videos surveillance","videos surveillance","1","1000","0.001","",""
"videos real-time","videos real-time","1","1000","0.001","",""
"videos imperfect","videos imperfect","1","1000","0.001","",""
"videos high-resolution","videos high-resolution","1","1000","0.001","",""
"videos criminals","videos criminals","1","1000","0.001","",""
"video-analysis avigilon","video-analysis avigilon","1","1000","0.001","",""
"victory scaremongering","victory scaremongering","1","1000","0.001","",""
"victims triple","victims triple","1","1000","0.001","",""
"victim violent","victim violent","1","1000","0.001","",""
"victim man's","victim man's","1","1000","0.001","",""
"vic fangio's","vic fangio's","1","1000","0.001","",""
"vetting intelligence","vetting intelligence","1","1000","0.001","",""
"verifying voter's","verifying voter's","1","1000","0.001","",""
"verify suspects","verify suspects","1","1000","0.001","",""
"verify identities","verify identities","1","1000","0.001","",""
"verify harmful","verify harmful","1","1000","0.001","",""
"verify discover","verify discover","1","1000","0.001","",""
"verified vouch","verified vouch","1","1000","0.001","",""
"verification transaction","verification transaction","1","1000","0.001","",""
"verification identities","verification identities","1","1000","0.001","",""
"verification cataloging","verification cataloging","1","1000","0.001","",""
"verge cnbc","verge cnbc","1","1000","0.001","",""
"venues festivals","venues festivals","1","1000","0.001","",""
"vendors ranked","vendors ranked","1","1000","0.001","",""
"vendors developers","vendors developers","1","1000","0.001","",""
"vending â","vending â","1","1000","0.001","",""
"velez facebook","velez facebook","1","1000","0.001","",""
"vastly expand","vastly expand","1","1000","0.001","",""
"vaping's lax","vaping's lax","1","1000","0.001","",""
"vaping nyti.ms/2pjnqlj","vaping nyti.ms/2pjnqlj","1","1000","0.001","",""
"vanguard anti-surveillance","vanguard anti-surveillance","1","1000","0.001","",""
"vanessa taylor","vanessa taylor","1","1000","0.001","",""
"vandalized lampposts","vandalized lampposts","1","1000","0.001","",""
"vance realnetworks's","vance realnetworks's","1","1000","0.001","",""
"vance realnetworks","vance realnetworks","1","1000","0.001","",""
"valley's google","valley's google","1","1000","0.001","",""
"valley's creations","valley's creations","1","1000","0.001","",""
"validating consumers","validating consumers","1","1000","0.001","",""
"vadim moscow","vadim moscow","1","1000","0.001","",""
